"Adams, Eric L", 627560
"Agosto, Kenneth G", 185
"Alabi, Olanike T", 13727
"Albanese, Sal F", 1693870
"Allon, Tom F", 191452
"Alvarez, Albert", 79099
"Alvarez, Pedro", 69986
"Arcabascio, Aurelio A", 1375
"Arroyo, Maria", 126483
"Avella, Tony", 70170
"Banks, Christopher W", 32080
"Barksdale, Alicia D", 17395
"Barron, Inez D", 24092
"Batista, Raquel E", 38475
"Bauza, Joel M", 4593
"Bello, Abiodun W", 68864
"Berkley, Carlton", 10355
"Berkowitz, Ceceilia J", 1530
"Bhushan, Natraj S", 25925
"Biberaj, Ken", 138484
"Blishteyn, Alexander", 50233
"Brewer, Gale A", 527652
"Broady-Fernandez, Hilda K", 3625
"Brown, Everly D", 27000
"Brown, Ricardo A", 43824
"Burnett, John L", 27727
"Cabrera, Fernando", 53600
"Cardona, Ralina M", 96050
"Carrion, Jr., Adolfo", 223400
"Caruana, Craig N", 61863
"Casavis, David B", 250
"Castellanos, Francesca M", 82551
"Catsimatidis, John A", 805010
"Caughman, Manuel", 110918
"Chin, Margaret", 188452
"Chou, Evergreen C", 3000
"Ciafone, John J", 5750
"Coenen, Jr., Kevin P", 40
"Cohen, Andrew J", 20589
"Comrie, Leroy G", 154704
"Concannon, Joseph R", 195314
"Constantinides, Costa G", 161030
"Cooper, Debra", 222691
"Cornegy, Jr., Robert E", 69380
"Council, Kimberly N", 136479
"Credico, Randy", 6948
"Crowley, Elizabeth S", 125597
"Cumbo, Laurie A", 165975
"Daniel, Kathleen", 15896
"Davidzon, Gregory", 525
"Davis, Kristin M", 400
"De Los Santos, Felipe N", 5
"De Stefano, Danielle M", 17825
"Del Rio, Richard", 55510
"Deutsch, Chaim M", 26708
"Diallo, Ahmadou T", 84950
"Diaz Jr., Ruben", 1220722
"Dickens, Inez E", 145865
"Dobrin, Todd A", 92110
"Dromm, Daniel P", 122405
"Duane, John F", 3367822
"Duncan, Michael R", 20986
"Edie, Lenford", 53710
"Edwards, Khari", 3415
"El-Meligy, Hesham", 17600
"Elshiekh, Moustafa M", 11980
"Enoch, Brodie", 71367
"Escoffery-Bey, Mark", 70847
"Espinal, Jr., Rafael L", 102896
"Estrella, Miguel", 32898
"Eugene, Mathieu", 63594
"Ferreras, Julissa", 60665
"Finnegan, Kevin A", 750
"Flowers, Joan E", 34204
"Flusberg, Jacob M", 500
"Fox, Ede S", 129354
"Foy, Kirsten J", 38907
"Gangemi, John F", 11605
